object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,type_cn,object id
97-12-4D,婚戒,"1978—1985
1978—1985
15世纪—1951
1978—1985
1978—1985
商朝
1648年12月21日
1648年12月21日
1648年12月21日
1648年12月21日
1648年12月21日
1648年12月21日
1648年12月21日
清朝
商朝—现代
1648年12月21日
17世纪
辽朝
公元前3世纪
15世纪—1949
19世纪—1895
19世纪—1895
19世纪—1895
1648年12月21日
19世纪—1895
unknown
1648年12月21日
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
unknown
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
unknown
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
19世纪—1895
17世纪—19世纪
1648年12月21日
1648年12月21日",编织,丝绸,腰带婚礼服装的一部分。绣有粉色、红色、蓝色、白色、橙色、绿色本土省级丝绸的布条。编织的几何图案。两端都有流苏。吴桐英的母亲制作的。,L： 192厘米，宽：8厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/269848,https://www.penn.museum/collections/assets/060T/601k/601637_1600.jpg,images/penn/97-12-4D.jpg,购自吴同英，1997年,97-12-4D,2026-05-06,编织,1
97-12-4B,裤子,1978—1985,编织|染色,棉花,与婚纱搭配的裤子。靛蓝染色。坚硬、坚韧、闪亮的布。靛蓝棉棉条。,L： 81厘米，宽：75厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/215667,https://www.penn.museum/collections/assets/060T/600k/600714_1600.jpg,images/penn/97-12-4B.jpg,购自吴同英，1997年,97-12-4B,2026-05-06,编织,2
51-41-16,卡通,15世纪—1951,亚洲的,纸张|墨水,漫画为木版印刷在粗糙的本地纸画。可能是用德语印的。莲花宝座上的高级喇嘛化身图像。,L： 32厘米，宽：27厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/156199,https://www.penn.museum/collections/assets/098T/986k/986391_1600.jpg,,斯凯勒·V·R·卡门的礼物，1951年,51-41-16,2026-05-06,亚洲,3
97-12-4A,婚礼夹克,1978—1985,刺绣|梭织,棉|丝,苗族纺织艺术家吴同英制作和穿着的婚纱。这些夹克用于婚礼和特殊场合。黑色棉质，领口和肩部有精心刺绣的带子。色彩鲜艳，尤其是红色。雕刻了人、蛇、蝙蝠、大象和其他动物的图像。布很硬。本土自产棉花和丝绸。,L： 115厘米，宽：85厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/93862,https://www.penn.museum/collections/assets/060T/600k/600890_1600.jpg,images/penn/97-12-4A.jpg,购自吴同英，1997年,97-12-4A,2026-05-06,刺绣,4
97-12-4C,婚纱围裙,1978—1985,刺绣|梭织,棉|丝,苗族纺织艺术家吴同英制作和穿着的结婚围裙或裙子。这些围裙通常在婚礼上穿着，后来在特殊场合穿着。由四条布缝在一起制成的长方形围裙：顶部靛蓝硬材料;中央刺绣白色棉质镶板，带边缘;和两个蓝色丝绸刺绣侧镶板。色彩鲜艳，有大量红色。中央面板上雕刻了狗/狮子、人、蝴蝶、半人/半蛇、金鱼、蝙蝠和蛇或蛇的图像。侧板上有鲜花、凤凰和其他小型啮齿动物。本土省级手工编织棉和丝绸。,L： 73.5厘米，宽62.5厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/257062,https://www.penn.museum/collections/assets/060T/600k/600715_1600.jpg,images/penn/97-12-4C.jpg,购自吴同英，1997年,97-12-4C,2026-05-06,刺绣,5
55-34-7,甲骨文,商朝,铭刻,骨头,一块刻有古代中国文字的骨头碎片。据说是兰登·华纳于1913年至1914年在安阳遗址小屯村获得的一批甲骨作品之一。商朝国王使用甲骨作为占卜的一种形式，在重要的政治、社会和个人问题上寻求超自然的指导。骨头通常由牛的肩胛骨和龟甲的底部制成，被压平，然后加热直至破裂。通过解释裂缝，皇家占卜师相信他们正在获得洞察力，使他们能够回答有关未来的问题。在许多情况下，阅读的记录都写在骨头上。这些文本提供了有关早期中国宗教、政治和精英生活的宝贵信息。,W： 2.2厘米，高5.5厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/356742,https://www.penn.museum/collections/assets/036T/362k/362261_1600.jpg,,1955年与哈佛大学皮博迪博物馆交换,55-34-7,2026-05-06,刻铭,6
79-23-1K,交错垫,1648年12月21日,编织| Brocaded,丝绸|金线,黄色丝绸锦缎小矩形布垫，带有金线花卉图案。放置在79-23-1A-J玉页之间的五个垫之一。,W： 12.8厘米，高29.5厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/61646,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1K.jpg,小史沫特莱·D·巴特勒、托马斯·R·巴特勒、伊迪丝·M·P·韦勒和菲利帕·韦勒-奇尔的礼物，1979年,79-23-1K,2026-05-06,编织,7
79-23-1O,交错垫,1648年12月21日,编织| Brocaded,丝绸|金线,黄色丝绸锦缎小矩形布垫，带有金线花卉图案。放置在79-23-1A-J玉页之间的五个垫之一。,W： 12.8厘米，高29.5厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/123394,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1O.jpg,小史沫特莱·D·巴特勒、托马斯·R·巴特勒、伊迪丝·M·P·韦勒和菲利帕·韦勒-奇尔的礼物，1979年,79-23-1O,2026-05-06,编织,8
79-23-1M,交错垫,1648年12月21日,编织| Brocaded,丝绸|金线,黄色丝绸锦缎小矩形布垫，带有金线花卉图案。放置在79-23-1A-J玉页之间的五个垫之一。,W： 12.8厘米，高29.5厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/272875,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1M.jpg,小史沫特莱·D·巴特勒、托马斯·R·巴特勒、伊迪丝·M·P·韦勒和菲利帕·韦勒-奇尔的礼物，1979年,79-23-1M,2026-05-06,编织,9
79-23-1N,交错垫,1648年12月21日,编织| Brocaded,丝绸|金线,黄色丝绸锦缎小矩形布垫，带有金线花卉图案。放置在79-23-1A-J玉页之间的五个垫之一。,W： 12.8厘米，高29.5厘米,宾夕法尼亚大学考古与人类学博物馆,美国宾夕法尼亚州费城,https://www.penn.museum/collections/object/320081,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,,小史沫特莱·D·巴特勒、托马斯·R·巴特勒、伊迪丝·M·P·韦勒和菲利帕·韦勒-奇尔的礼物，1979年,79-23-1N,2026-05-06,编织,10
